,Priority,Summary,time
0,1,endpoint mapping and saxon,1
1,1,thread safe problem during wsdl generation,1
2,0,saajutils wrong way to detect saaj version,1
3,2,incorrect javadoc in org.springframework.ws.soap.soapfault,0
4,1,loading default key store overwrites truststore,0
5,1,xpathexpression is not thread-safe,0
6,2,ws-security exception not being handled,1
7,1,order of setting properties in webservicegatewaysupport,1
8,1,fix mtom sample,0
9,0,payloadvalidatinginterceptor ignores schema list,1
10,1,saaj : unable to create envelope from given source,0
11,1,jaxb marshaller.supports(class clazz) is too eager,1
12,2,axiomsoapmessagefactory payloadrootannotationmethodendpointmapping allways falls to dom parsing,1
13,2,reference documentation - chapter . - spelling,0
14,2,reference documentation - chapter . - creating the project,0
15,1,no java extensiontype found to represent a 'http://www.w .org/ /xmlschemaschema' element in the context of a 'javax.wsdl.types'.,1
16,1,gzip decompression handling in client,1
17,1,null pointer while handling empty soap body,1
18,1,weblogic : saaj unsupportedoperationexception,1
19,1,"java.lang.illegalargumentexception: this is not an attribute, it is a namespace: xmlns:xs",1
20,1,client-side support for jaxb mtom marshalling is not working well,1
21,1,important classes are package-private,0
22,1,nosuchmethoderror: saajutils.toname(),1
23,1,illegalstateexception in saaj implementation.removecontents(),1
24,1,don't close the servletinputstream in abstractwebserviceconnection.receive,0
25,2,marshallsendandreceivce bug in webservicetemplate,0
26,1,messagedispatcherservlet does not search servlet context for a wsdldefinitionhandleradapter instance,1
27,1,"when using jaxb , all messages become mtom",0
28,1,axiomsoapfaultdetailelementiterator does not consider whitespace nodes,0
29,2,minor documentation bug: org.springframework.xml.transform.resourcesource,0
30,1,webservicetemplate hasfaut skips check for fault in response if the connection implements faultawarewebserviceconnection,0
31,1,castormarshaller ignoreextraattributes & elements,0
32,2,example config of soapfaultmappingexceptionresolver contains incorrect package for class,0
33,0,a soap:fault does not set the the response code to,0
34,1,client is not able to read long response,0
35,1,"in tutorial sometimes humanresources is used, sometimes holidayservice",0
36,1,typo in reference documentation 'holiday request' should be 'holiday requests',0
37,1,"half you virtual machine, should be 'half of the objects on the heap of your virtual machine'",0
38,2,typo in 'what is spring web services?',0
39,1,gzip compression is not enabled,0
40,1,namespace lost on generated wsdl,1
41,1,xsdbasedsoap wsdl jdefinitionbuilder parsing error,0
42,1,exception when creating xmlstreamreader from axiomsoapmessage.getpayloadsource with woodstox,1
43,2,changing url in commonshttpmessagesender,1
44,1,defaulttimestampvalidator uses wrong date format,0
45,1,abstractsoapmessage.getpayloadsource returns null with axis saaj,0
46,1,stream closed before response read with webservicetemplate axis saaj soap messages,1
47,2,building samples fails due to reference to parent project in pom.xml,0
48,2,java . constructor used for illegalstateexception,0
49,1,namespace not being applied correctly to soap fault detail elements.,0
50,1,payloadvalidatinginterceptor not working under websphere . . .,1
51,0,in saaj soapenvelope#getheader() header != null should become header == null,0
52,2,abstractmarshallertestcase.testmarshaldomresult() builds a dom object that does not retain namespace,1
53,1,no way to propagate exception from an abstractsaxpayloadendpoint,0
54,1,duplicate content type http header,1
55,1,spring-ws maven poms are missing versions for dependencies,0
56,1,payloadvalidatinginterceptor validates only once (websphere),0
57,1,castormarshaller does not marshal to dom trees correctly,0
58,1,digest passwords are never accepted in the simplepasswordvalidationcallbackhandler,0
59,1,npe thrown when validating with nonce,0
60,1,castormarshaller doesn't cache mapping correctly,0
61,2,abstractvalidatinginterceptor repeats the first error message,0
62,1,axis saaj implementation does not set content-type on savechanges(),0
63,2,airline sample readme.txt has wrong dir info,0
64,1,content-type header for soap attachments misses required entries,0
65,1,weblogic . throws javax.xml.soap.soapexception: there should be only one content-type mimeheader,0
66,1,validation error for valid xml,0
67,2,castormarshaller is missing a way to specify the castor-generated class to use during unmarshalling.,0
68,2,saajsoapmessage does not work if content type includes parameters,1
69,1,messagehandleradapter uses j ee .,0
70,1,setvalidating(boolean) is deprecated in jaxb,0
71,1,saajmessagehelper.getpayloadelement() throws exception when first child is not an element,0
72,1,thead safety of transformer,0
73,1,<mvn:interceptor> stops working after update to /spring-mvc . .,0
74,0,spring-core . . .release antpathmatcher.ispattern have bug?,0
75,0,spring web flow dependency conflict with spring boot . .,0
76,0,disabling jsf partial state saving with spring web flow . leads to nullpointerexception,1
77,2,spring web flow with jsf application does not work after upgrade from . to .,1
78,0,flowscope variable is not getting deserialized in case of session replication,2
79,2,flowinputmappingexception still not serializable,0
80,1,flowinputmappingexception results in broken persistent httpsession,1
81,2,org.springframework.webflow.conversation.impl.locktimeoutexception: unable to acquire conversation lock after seconds,0
82,1,classnotfoundexception (backwards compatibility issue),1
83,2,not possible to reuse swf validatorcontext-based validators in mvc environment,2
84,2,upgrading swp to spring . . .rc gives nullpointerexception,2
85,1,combination of swf and myfaces trinidad may set flag 'jsfruntimeinformation.myfacesinuse' to wrong value,1
86,2,web flow spring boot dev tools don't play nice,0
87,2,spring boot dev tools & don't play nice,0
88,2,jsfajaxhandler doesn't encode redirect url,1
89,2,jsf . compatibility broken in jsfviewfactory where visithint.skip_iteration is used,1
90,1,dynamically added components to data table not restored.,1
91,2,update http://projects.spring.io/spring-webflow/ with the latest release information,0
92,2,development mode does not recognize changes in parent flows,1
93,2,incorrect initialization of static variable myfacesinuse when myfaces is loaded after jsfruntimeinformation,2
94,1,conversationcontainer is not threadsafe,0
95,1,remove hard dependency on mojarra compositecomponentstackmanager,0
96,0,jsf compositecomponent causes propertynotfoundexception,1
97,2,spring webflow transition exception handling does not work with exceptions during render phase,1
98,1,detection of myfaces on websphere .,1
99,2,odd webflow springloaded flow-serialization-failure behaviour,1
100,1,"when i try to do a transition of states, the system gives me ""java.lang.noclassdeffounderror: com/sun/faces/component/compositecomponentstackmanager""",2
101,1,detection of myfaces implementation is still not sufficient,2
102,0,null pointer exception in abstractflowexecutionrepository,2
