Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Depend),Outward issue link (Depend),Outward issue link (Depends),Outward issue link (Duplicate),Outward issue link (Relate),Outward issue link (Relate),Outward issue link (Relate),Outward issue link (Related),Outward issue link (Related),Outward issue link (Supersede),Outward issue link (Supersede),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Acceptance Criteria),Custom field (Actual Story Points),Custom field (Days since last comment),Custom field (Epic Link),Custom field (First Response Date),Custom field (Global Rank),Custom field (Last commented by a User),Custom field (Last updater),Custom field (Out of Scope),Custom field (Platform),Custom field (Pull Request URL),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Ranking),Custom field (Reference URL),Custom field (Spring Forum Reference),Sprint,Sprint,Sprint,Custom field (Story Points),Custom field (Virtual Machine),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Upgrade to Spring Boot 2.1.0,XD-3769,83061,Bug,To Do,XD,Spring XD,software,mark.pollack,"This JIRA project is closed.

Spring XD is a unified, distributed, and extensible system for data ingestion, real time analytics, batch processing, and data export. The project's goal is to simplify the development of big data applications.",https://github.com/spring-projects/spring-xd,Blocker,,,Fokuo,Fokuo,16/Nov/18 3:57 PM,20/Nov/18 3:18 PM,10/Jul/21 8:33 AM,,,,,,,,,,,,,,,0,,,,,,,"We tried upgrading from Spring Boot 2.0.6 to Spring 2.1.0 and noticing a critical multi-threading bug in the WebClient.  We are using Spring WebFlux with Netty Embedded Server

In SpringBoot 2.0.6 you can see data received and published on happens on two different threads but in SpringBoot 2.1.0 all execution is happening on the same thread even data is published to same thread.  Any reason why the multi-threading behavior has changed in SpringBoot 2.1.0?  Seems like a major defect.  This flaw is preventing us from upgrading to Spring Boot 2.1.0.

It appears with Spring Boot 2.1.0 the default threading behavior of the WebClient has changed to where emissions on published on main thread as opposed to a different thread

See results below

I print the thread on the doOnRequest method of the WebClient

I also print the thread on the doOnNext of the Mono

For version 2.10 you can see emissions are published on the main thread but in earlier version

2.0.6 emissions published on a different thread.

You can see even response time increased for 2.10 because emissions are published on main thread as opposed to different thread

2.0.6.RELEASE

2018-11-15 08:49:45.626 INFO 15228 — [ctor-http-nio-5] c.c.x.n.s.handler.rest.SearchHandler : Search request received for query : 
 2018-11-15 08:49:45.630 INFO 15228 — [ctor-http-nio-5] c.c.x.n.c.s.x.impl.HttpSearchService : Request for search using query param : 
 2018-11-15 08:49:45.633 INFO 15228 — [ctor-http-nio-5] c.c.x.n.m.h.filter.RequestLoggingFilter : Executing request: GET [https://www|https://www/]
 2018-11-15 08:49:45.635 INFO 15228 — [ctor-http-nio-5] c.c.x.n.m.util.AbstractLookupService : Subscribed to request with uri [https://www|https://www/]
 2018-11-15 08:49:45.635 INFO 15228 — [ctor-http-nio-5] c.c.x.n.m.util.AbstractLookupService : Request received for uri [https://www|https://www/] [Thread[reactor-http-nio-5,5,main]]
 2018-11-15 08:49:47.069 INFO 15228 — [ctor-http-nio-4] c.c.x.n.s.f.RequestProcessingTimeFilter : Request processing time for GET 34291c26-8419-4cf9-8c50-eea84bf59d48 is 17 ms with http status null
 2018-11-15 08:49:47.253 INFO 15228 — [ctor-http-nio-8] c.c.x.n.m.util.AbstractLookupService : Time taken for request [http://www|http://www/] is : [1624] ms Thread[reactor-http-nio-8,5,main]]

2.1.0.RELEASE

2018-11-15 09:07:15.886 INFO 5932 — [ctor-http-nio-6] c.c.x.n.s.handler.rest.SearchHandler : Search request received for query : 
 2018-11-15 09:07:15.906 INFO 5932 — [ctor-http-nio-6] c.c.x.n.c.s.x.impl.HttpSearchService : Request for search using query param :
 2018-11-15 09:07:15.912 INFO 5932 — [ctor-http-nio-6] c.c.x.n.m.h.filter.RequestLoggingFilter : Executing request: GET [https://www|https://www/]
 2018-11-15 09:07:15.914 INFO 5932 — [ctor-http-nio-6] c.c.x.n.m.util.AbstractLookupService : Subscribed to request with uri [https://www|https://www/]
 2018-11-15 09:07:15.915 INFO 5932 — [ctor-http-nio-6] c.c.x.n.m.util.AbstractLookupService : Request received for uri [https://www|https://www/]  [Thread[reactor-http-nio-6,5,main]]
 2018-11-15 09:07:18.356 INFO 5932 — [ctor-http-nio-6] c.c.x.n.m.util.AbstractLookupService : Time taken for request [https://www|https://www/] is : [2447] ms  [Thread[reactor-http-nio-6,5,main]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83462400,,,9223372036854775807,true,Fokuo(fokuo),,,,"0|i0blt3:",9223372036854775807,9223372036854775807,,,,,,5.0,,,,,,,,,,,,,,,,,,,
How do I make a job restartable in spring xd,XD-3768,77638,Bug,To Do,XD,Spring XD,software,mark.pollack,"This JIRA project is closed.

Spring XD is a unified, distributed, and extensible system for data ingestion, real time analytics, batch processing, and data export. The project's goal is to simplify the development of big data applications.",https://github.com/spring-projects/spring-xd,Major,,,abhineet27,abhineet27,10/Jul/17 12:41 PM,10/Jul/17 12:41 PM,10/Jul/21 8:37 AM,,,,,,,,,,,,,,,0,,,,,,,"The jobs that appear under Executions section of Jobs in spring xd admin ui, has restart button disabled. How do I enable this ?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126144000,,,9223372036854775807,true,abhineet27(abhineet27),,,,"0|i0aqpj:",9223372036854775807,9223372036854775807,,,,,,1.0,,,,,,,,,,,,,,,,,,,
admin config timezone command does not work,XD-3767,77511,Bug,To Do,XD,Spring XD,software,mark.pollack,"This JIRA project is closed.

Spring XD is a unified, distributed, and extensible system for data ingestion, real time analytics, batch processing, and data export. The project's goal is to simplify the development of big data applications.",https://github.com/spring-projects/spring-xd,Trivial,,,dr_pompeii,dr_pompeii,26/Jun/17 3:26 PM,26/Jun/17 3:26 PM,10/Jul/21 8:37 AM,,1.3.2,1.3 GA,,,,,,,,,,,,0,,,,,,,"Working with Spring-XD version 1.3.2.RELEASE

Starting the server with {{xd-singlenode}} command, the following happens for the shell

{code}
xd:>admin config
admin config info        admin config server      admin config timezone
xd:>admin config info
  -------------  -------------------------------------------
  Result         Successfully targeted http://localhost:9393
  Target         http://localhost:9393
  Timezone used  Colombia Time (UTC -5:00)
  -------------  -------------------------------------------

xd:>admin config server
Successfully targeted http://localhost:9393/
xd:>admin config timezone
Command 'admin config timezone' not found (for assistance press TAB)
xd:>
{code}

How you can see the {{admin config timezone}} command shows {{Command 'admin config timezone' not found (for assistance press TAB)}}.

Seems a bug because in the previous output this command appears how a third valid option: 

{code}
xd:>admin config
admin config info        admin config server      admin config timezone
{code}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127353600,,,9223372036854775807,true,dr_pompeii(dr_pompeii),,,,"0|i0apxb:",9223372036854775807,9223372036854775807,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Module Upload command not pushing jar to all containers,XD-3766,77130,Bug,To Do,XD,Spring XD,software,mark.pollack,"This JIRA project is closed.

Spring XD is a unified, distributed, and extensible system for data ingestion, real time analytics, batch processing, and data export. The project's goal is to simplify the development of big data applications.",https://github.com/spring-projects/spring-xd,Major,,,keerthikanth,keerthikanth,19/May/17 9:28 PM,19/May/17 9:28 PM,10/Jul/21 8:37 AM,,1.3.1,,,,,,,,Stream Module,,,,,0,Spring,xd,,,,,"My project 7 node cluster and in that 2 node are Admin containers and remaining are non admin containers. When i applied module upload command it created jar with md5 in custom_modules/jobs path only in admin nodes but not in other nodes. I am able to create job based on the uploaded module but job status is shown as ""Failed"" and the reason behind is jars are not placed in all nodes custom_modules/jobs/test_module.jar.
Can you anyone let us know the exact reason why module upload is pushing jars only to admin nodes but not all other nodes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130636800,,,9223372036854775807,true,keerthikanth(keerthikanth),,,,"0|i0ankv:",9223372036854775807,9223372036854775807,,,,,,10.0,,,,,,,,,,,,,,,,,,,
SpringXD Job is still executing even after forceful Server shutdown,XD-3764,71805,Bug,To Do,XD,Spring XD,software,mark.pollack,"This JIRA project is closed.

Spring XD is a unified, distributed, and extensible system for data ingestion, real time analytics, batch processing, and data export. The project's goal is to simplify the development of big data applications.",https://github.com/spring-projects/spring-xd,Major,,,srikar2705d,srikar2705d,06/Mar/17 8:01 PM,06/Mar/17 8:01 PM,10/Jul/21 8:37 AM,,,,,,,,,,Batch,,,,,0,,,,,,,"I'm trying to run a Job on SpringXD and the job has 7 steps, When I reach step 4 i'm shutting down the XD server. When I look into the Metadata of SpringXD I'm saving on OracleDB. I see that the Step 4 is in executing status and it will never change to failed. After restarting the server, I still see that the status of the Job is still executing and it never gets finished. If I launch the job it create a new job and the new one gets finished.

My config.xml for jdbc:

    <jdbc:initialize-database data-source=""dataSource"" 
                      enabled=""false"">
        <jdbc:script location=""org/springframework/batch/core/schema-oracle10g.sql"" />
</jdbc:initialize-database>

From org/springframework/batch/core/schema-oracle10g.sql, I see that the sql queries are for creating a table. But when the tables are already existing, as i didn't drop them from my previous job. There was no error which said tables already exist. The new job got appended to previous existing table. HOW?
How can I force the job to fail when the XD server suddenly goes down?
How can I resume the same job that was stopped from the step where it stopped?
Thank you :)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137030400,,,9223372036854775807,true,srikar2705d(srikar2705d),,,,"0|i09r73:",9223372036854775807,9223372036854775807,,,,,,5.0,,,,,,,,,,,,,,,,,,,
Duplicate entries in table XD_JOB_REGISTRY,XD-3763,71265,Bug,To Do,XD,Spring XD,software,mark.pollack,"This JIRA project is closed.

Spring XD is a unified, distributed, and extensible system for data ingestion, real time analytics, batch processing, and data export. The project's goal is to simplify the development of big data applications.",https://github.com/spring-projects/spring-xd,Major,,,knoga,knoga,23/Jan/17 10:21 AM,23/Jan/17 10:24 AM,10/Jul/21 8:37 AM,,1.3.1,,,,,,,,,,,,,1,,,,,,,"Hello,

I have encountered following problem while using Spring XD in DIRT (distributed) mode. I have one xd-admin and two xd-containers, Redis as transportation, and SQL Server 2016 as the database. After deploying a job from UI to all available containers sometimes I get two same entries in table {{XD_JOB_REGISTRY}} for the job:
!select.png!

As a result the JOBS -> Deployments page shows nothing but an error _Error fetching data. Is the XD server running_.

There is following exception in the xd-admin log:
{noformat}
2017-01-23T11:13:11+0100 1.3.1.RELEASE ERROR qtp1854907975-29 rest.RestControllerAdvice - Caught exception while handling a request
org.springframework.dao.IncorrectResultSizeDataAccessException: Incorrect result size: expected 1, actual 2
        at org.springframework.dao.support.DataAccessUtils.requiredSingleResult(DataAccessUtils.java:74) ~[spring-tx-4.2.4.RELEASE.jar:4.2.4.RELEASE]
        at org.springframework.jdbc.core.JdbcTemplate.queryForObject(JdbcTemplate.java:791) ~[spring-jdbc-4.2.4.RELEASE.jar:4.2.4.RELEASE]
        at org.springframework.jdbc.core.JdbcTemplate.queryForObject(JdbcTemplate.java:814) ~[spring-jdbc-4.2.4.RELEASE.jar:4.2.4.RELEASE]
        at org.springframework.xd.dirt.plugins.job.DistributedJobLocator.isIncrementable(DistributedJobLocator.java:203) ~[spring-xd-dirt-1.3.1.RELEASE.jar:1.3.1.RELEASE]
{noformat}

..because in {{DistributedJobLocator.java}} the query is expected to return exactly one record:
{code:java}
	public Boolean isIncrementable(String jobName) {
		return jdbcTemplate.queryForObject(JOB_INCREMENTABLE, Boolean.class, jobName);
	}
{code}

The code that adds a job in {{DistributedJobLocator.java}} seems to be susceptible to race conditions:
{code:java}
	protected void addJob(String name, boolean incrementable, boolean restartable) {
		Collection<String> jobNames = this.getJobNames();
		// XD admin server will prevent any REST client requests create a job definition with an existing name.
		// ...
		if (!jobNames.contains(name)) {
			addJobName(name, incrementable, restartable);
		}
		else {
			updateJobName(name, incrementable, restartable);
		}
	}

	private void addJobName(String name, boolean incrementable, boolean restartable) {
		jdbcTemplate.update(ADD_JOB_REGISTRY, incrementable, restartable, name);
	}
{code}

...and there are no any unique constraints on the table columns:
{code:sql}
CREATE TABLE XD_JOB_REGISTRY(
    JOB_NAME VARCHAR(100) NOT NULL,
    IS_INCREMENTABLE VARCHAR(10) NOT NULL,
    IS_RESTARTABLE VARCHAR(10) NOT NULL
);
{code}",,,,,,,,,,,,,,,,,,,,,,,,"23/Jan/17 10:21 AM;knoga;select.png;https://jira.spring.io/secure/attachment/23691/select.png",,,,,,,,,,,,,140659200,,,9223372036854775807,true,knoga(knoga),,,,"0|i09ob3:",9223372036854775807,9223372036854775807,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Spring XD Dynamic Module ClassLoader Issue,XD-3762,70384,Bug,To Do,XD,Spring XD,software,mark.pollack,"This JIRA project is closed.

Spring XD is a unified, distributed, and extensible system for data ingestion, real time analytics, batch processing, and data export. The project's goal is to simplify the development of big data applications.",https://github.com/spring-projects/spring-xd,Critical,,,Fado,Fado,07/Nov/16 9:10 AM,07/Nov/16 9:12 AM,10/Jul/21 8:37 AM,,1.3.1,,,,,,,,Documentation,Packaging,Runtime,,,0,,,,,,,"According to the documentation we can load jars dynamically at module creation time by exploiting the attribute module.classloader in the .properties file :

http://docs.spring.io/spring-xd/docs/1.3.1.RELEASE/reference/html/#module-class-loading

I spent two days trying to test this feature. It does not work. The option module.classloader seems to be simply ignored

I did not find any string named module.classloader in the XD code. But I found another one called module.classpath in this class:

https://github.com/spring-projects/spring-xd/blob/master/spring-xd-module/src/main/java/org/springframework/xd/module/options/ModuleUtils.java

The code in the above class seems to match the documentation. But unfortunalletely it does not work too. My classes are not found and I get java.lang.ClassNotFoundException

I have module option named dir4jars where I put the jars to load at creation time (when I issue job create --name xx --defintion ..). It's a directory, and I have tested the following possibilities, with both module.classpath and module.classloader :

{code:java}

module.classpath=${dir4jars}/*.jar
module.classloader=${dir4jars}/*.jar
.
.
job create --name jobName --definition ""myJobModuleName --dir4jars=C:/ELS/Flash/libxd"" --deploy

and

job create --name jobName --definition ""myJobModuleName --dir4jars=file:C:/ELS/Flash/libxd"" --deploy 

{code}

I need the dir4jars to be absolute and outside XD home.

What's the right option to use for this dynamic load? module.classpath or module.classloader ? Is't a bug in the documentation ?

How can I set an absolute directory as I mentioned above?

Many thanks.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147312000,,,9223372036854775807,true,Fado(fado),,,,"0|i09ivr:",9223372036854775807,9223372036854775807,,,,,,1.0,,,,,,,,,,,,,,,,,,,
java.util.concurrent.RejectedExecutionException in InetUtils.convertAddress,XD-3761,69936,Bug,To Do,XD,Spring XD,software,mark.pollack,"This JIRA project is closed.

Spring XD is a unified, distributed, and extensible system for data ingestion, real time analytics, batch processing, and data export. The project's goal is to simplify the development of big data applications.",https://github.com/spring-projects/spring-xd,Major,,,joe75,joe75,25/Sep/16 8:03 AM,28/Sep/16 5:31 AM,10/Jul/21 8:37 AM,,1.2 GA,,,,,,,,Configuration,,,,,0,,,,,,,"Hi, 

We use spring config server 1.0.4-RELEASE with spring boot 1.2.5-RELEASE without any problems.

Now i update to spring boot 1.4.0.RELEASE and config 1.2.0.RELEASE.

Since then i have problems with the configserver. In the log you can see that the config server loads different configs. This is done from a start-script file to extract ports. This works fine. 
then i start my spring boot app and at the same time i see these errors (RejectedExecutionException) see attachment.

Question:
- is the config read from the configserver only read once at startup?
- could there be a concurrent issue in the config server?

I have just tested spring boot 1.3.7 with config 1.2.0 and got the same problem.
Did just another test: See ConfigServerLogV1.1.3_SpringBoot1.3.7.txt that has the same problem
",,,,,,,,,,,,,,,,,,,,,,,,"25/Sep/16 4:09 PM;joe75;ConfigServerLogV1.1.3_SpringBoot1.3.7.txt;https://jira.spring.io/secure/attachment/23573/ConfigServerLogV1.1.3_SpringBoot1.3.7.txt","25/Sep/16 7:53 AM;joe75;ConfigServerLogWithException.txt;https://jira.spring.io/secure/attachment/23572/ConfigServerLogWithException.txt",,,,,,,,,,,,151113600,,,9223372036854775807,true,joe75(joe75),,,,"0|i09g47:",9223372036854775807,9223372036854775807,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Composed job endpoint is missing from the defined authorization rules,XD-3759,69226,Bug,To Do,XD,Spring XD,software,mark.pollack,"This JIRA project is closed.

Spring XD is a unified, distributed, and extensible system for data ingestion, real time analytics, batch processing, and data export. The project's goal is to simplify the development of big data applications.",https://github.com/spring-projects/spring-xd,Minor,,,sabby,sabby,19/Jul/16 8:56 PM,23/Dec/16 2:48 PM,10/Jul/21 8:37 AM,,1.3.1,,,,,,1.3.3,,,,,,,0,,,,,,,"More details in the support ticket: https://issuetracker.springsource.com/browse/VESC-679

Following entires should be added to {{application.yml}} file.

{code}
        - POST   /tools/parseJobToGraph                      => hasRole('ROLE_CREATE')
        - POST   /tools/parseJobToGraph.*                   => hasRole('ROLE_CREATE')
        - POST   /tools/convertJobGraphToText            => hasRole('ROLE_CREATE')
        - POST   /tools/convertJobGraphToText.*          => hasRole('ROLE_CREATE')
{code}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156902400,,,9223372036854775807,true,mark.pollack(mark.pollack),,,,"0|i000ie:wrn0qzzzzzz000008u3ygfi0d",9223372036854775807,9223372036854775807,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Dead Letter is not created on all RabbitMQ queues for partionned stream,XD-3757,68767,Bug,To Do,XD,Spring XD,software,mark.pollack,"This JIRA project is closed.

Spring XD is a unified, distributed, and extensible system for data ingestion, real time analytics, batch processing, and data export. The project's goal is to simplify the development of big data applications.",https://github.com/spring-projects/spring-xd,Major,,,mgervais,mgervais,27/May/16 2:13 PM,30/May/16 1:48 PM,10/Jul/21 8:37 AM,,1.3.1,,,,,,Waiting for Triage,,Runtime,,,,,0,waiting-for-reporter,,,,,,"Hi,

If I use the module.[name].producer.paritionKeyExpression, and the module as also autoBindDLG enabled, the creates RabbbitMQ queues do not have the DeadLetter policy.
The first queue has it (xdbus.<stream>.0-0) but others do not have it (xdbus.<stream>.0-N).

Thanks

Mickaël

",,,,,,,,,,,,,,,,,,,,,,,,"27/May/16 4:13 PM;grussell;Screen Shot 2016-05-27 at 12.03.11 PM.png;https://jira.spring.io/secure/attachment/23411/Screen+Shot+2016-05-27+at+12.03.11+PM.png","27/May/16 4:13 PM;grussell;Screen Shot 2016-05-27 at 12.03.39 PM.png;https://jira.spring.io/secure/attachment/23410/Screen+Shot+2016-05-27+at+12.03.39+PM.png","27/May/16 4:13 PM;grussell;Screen Shot 2016-05-27 at 12.03.59 PM.png;https://jira.spring.io/secure/attachment/23409/Screen+Shot+2016-05-27+at+12.03.59+PM.png",,,,,,,,,,,161222400,,2016-05-27 16:12:56.021,9223372036854775807,false,grussell(grussell),,,,"0|i098zz:",9223372036854775807,9223372036854775807,,,,,,4.0,,"27/May/16 4:12 PM;grussell;Can you explain further?

There is only one DLQ - failed messages from all partitions are sent to the same DLX/DLQ - you can determine the original queue from the routing key in the header.

The DLQ is not named for the first partition - it doesn't contain a partition id at all - see the attached screenshots.","30/May/16 8:23 AM;mgervais;Hi Gary,

Thanks for your answer & screenshots. 

I agree with the fact that there is only one DLQ, But when I deployed my stream, I've had only one partiionned queue with DLX/DLQ features.
Maybe it linked to on another bug, somethime I've have to delete & re create queue with RabbitMQ because DLX/DLQ features are not created correctly on deployment.

I'll do an another test to check that.

Thanks ","30/May/16 1:48 PM;grussell;If the queue exists already without the DLX arguments we just continue - RabbitMQ doesn't allow changing the arguments and we can't take the risk of deleting and recreating the queue in case a user has specifically created it with other arguments (such as TTL etc).",,,,,,,,,,,,,,,
